==============================================
BraTS 2D Federated Learning
Job ID:       22486370
Node(s):      gpu-q-5
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.2)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Tue Feb 10 22:51:07 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   33C    P0             67W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.2) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.2
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.2677, epochs=30
  Round  19/50: Pooled Loss=0.3214, Pooled Mean=0.7987 (WT=0.8672 TC=0.7644 ET=0.7646) | C0 Mean=0.7978 | C1 Mean=0.7803 | C2 Mean=0.6913 | C3 Mean=0.7605 | C4 Mean=0.8251 | C5 Mean=0.5191 | C6 Mean=0.7771 | C7 Mean=0.5407 WorstC Mean=0.5191 [164.4s]
    Client 5: loss=0.1942, epochs=30
    Client 1: loss=0.1202, epochs=30
    Client 6: loss=0.0818, epochs=30
    Client 3: loss=0.0863, epochs=30
    Client 7: loss=0.4226, epochs=30
    Client 4: loss=0.0907, epochs=30
    Client 0: loss=0.0739, epochs=30
    Client 2: loss=0.0797, epochs=30
  Round  20/50: Pooled Loss=0.3132, Pooled Mean=0.8050 (WT=0.8686 TC=0.7753 ET=0.7710) | C0 Mean=0.8147 | C1 Mean=0.7796 | C2 Mean=0.6727 | C3 Mean=0.7672 | C4 Mean=0.8371 | C5 Mean=0.5170 | C6 Mean=0.7864 | C7 Mean=0.5439 WorstC Mean=0.5170 [164.5s]
    Client 5: loss=0.1894, epochs=30
    Client 2: loss=0.0882, epochs=30
    Client 7: loss=0.3940, epochs=30
    Client 0: loss=0.0736, epochs=30
    Client 3: loss=0.0855, epochs=30
    Client 6: loss=0.0831, epochs=30
    Client 1: loss=0.1255, epochs=30
    Client 4: loss=0.0878, epochs=30
  Round  21/50: Pooled Loss=0.3164, Pooled Mean=0.8030 (WT=0.8616 TC=0.7695 ET=0.7779) | C0 Mean=0.8000 | C1 Mean=0.7854 | C2 Mean=0.7104 | C3 Mean=0.7738 | C4 Mean=0.8372 | C5 Mean=0.5040 | C6 Mean=0.7857 | C7 Mean=0.5395 WorstC Mean=0.5040 [164.1s]
    Client 6: loss=0.0802, epochs=30
    Client 7: loss=0.3504, epochs=30
    Client 1: loss=0.1197, epochs=30
    Client 0: loss=0.0717, epochs=30
    Client 4: loss=0.0852, epochs=30
    Client 5: loss=0.1788, epochs=30
    Client 3: loss=0.0833, epochs=30
    Client 2: loss=0.0770, epochs=30
  Round  22/50: Pooled Loss=0.3167, Pooled Mean=0.8042 (WT=0.8665 TC=0.7726 ET=0.7736) | C0 Mean=0.8054 | C1 Mean=0.7862 | C2 Mean=0.6980 | C3 Mean=0.7684 | C4 Mean=0.8333 | C5 Mean=0.5049 | C6 Mean=0.7906 | C7 Mean=0.5385 WorstC Mean=0.5049 [163.8s]
    Client 7: loss=0.3626, epochs=30
    Client 3: loss=0.0827, epochs=30
    Client 0: loss=0.0685, epochs=30
    Client 4: loss=0.0826, epochs=30
    Client 2: loss=0.0744, epochs=30
    Client 5: loss=0.1709, epochs=30
    Client 6: loss=0.0802, epochs=30
    Client 1: loss=0.1181, epochs=30
  Round  23/50: Pooled Loss=0.3343, Pooled Mean=0.7861 (WT=0.8588 TC=0.7574 ET=0.7421) | C0 Mean=0.7678 | C1 Mean=0.7546 | C2 Mean=0.7112 | C3 Mean=0.7700 | C4 Mean=0.8329 | C5 Mean=0.4845 | C6 Mean=0.7730 | C7 Mean=0.5328 WorstC Mean=0.4845 [164.9s]
    Client 6: loss=0.0810, epochs=30
    Client 0: loss=0.0680, epochs=30
    Client 1: loss=0.1081, epochs=30
    Client 3: loss=0.0804, epochs=30
    Client 7: loss=0.3605, epochs=30
    Client 2: loss=0.0751, epochs=30
    Client 5: loss=0.1668, epochs=30
    Client 4: loss=0.0804, epochs=30
  Round  24/50: Pooled Loss=0.3308, Pooled Mean=0.7899 (WT=0.8600 TC=0.7623 ET=0.7474) | C0 Mean=0.7828 | C1 Mean=0.7694 | C2 Mean=0.6913 | C3 Mean=0.7745 | C4 Mean=0.8304 | C5 Mean=0.5018 | C6 Mean=0.7673 | C7 Mean=0.5485 WorstC Mean=0.5018 [163.7s]
    Client 4: loss=0.0790, epochs=30
    Client 0: loss=0.0667, epochs=30
    Client 7: loss=0.3127, epochs=30
    Client 1: loss=0.1028, epochs=30
    Client 6: loss=0.0792, epochs=30
    Client 3: loss=0.0805, epochs=30
    Client 5: loss=0.1610, epochs=30
    Client 2: loss=0.0732, epochs=30
  Round  25/50: Pooled Loss=0.3167, Pooled Mean=0.8056 (WT=0.8658 TC=0.7726 ET=0.7783) | C0 Mean=0.8094 | C1 Mean=0.7908 | C2 Mean=0.6815 | C3 Mean=0.7751 | C4 Mean=0.8368 | C5 Mean=0.5154 | C6 Mean=0.7897 | C7 Mean=0.5489 WorstC Mean=0.5154 [164.6s]
    Client 1: loss=0.1079, epochs=30
    Client 4: loss=0.0770, epochs=30
    Client 0: loss=0.0649, epochs=30
    Client 2: loss=0.0696, epochs=30
    Client 3: loss=0.0834, epochs=30
    Client 7: loss=0.3600, epochs=30
    Client 6: loss=0.0776, epochs=30
    Client 5: loss=0.1502, epochs=30
  Round  26/50: Pooled Loss=0.3209, Pooled Mean=0.8013 (WT=0.8624 TC=0.7701 ET=0.7716) | C0 Mean=0.8075 | C1 Mean=0.7856 | C2 Mean=0.6858 | C3 Mean=0.7792 | C4 Mean=0.8363 | C5 Mean=0.5131 | C6 Mean=0.7940 | C7 Mean=0.5507 WorstC Mean=0.5131 [165.9s]
    Client 0: loss=0.0637, epochs=30
    Client 1: loss=0.1180, epochs=30
    Client 7: loss=0.4213, epochs=30
    Client 4: loss=0.0735, epochs=30
    Client 3: loss=0.0767, epochs=30
    Client 2: loss=0.0724, epochs=30
    Client 6: loss=0.0768, epochs=30
    Client 5: loss=0.1559, epochs=30
  Round  27/50: Pooled Loss=0.3101, Pooled Mean=0.8084 (WT=0.8701 TC=0.7784 ET=0.7765) | C0 Mean=0.8113 | C1 Mean=0.7850 | C2 Mean=0.6827 | C3 Mean=0.7831 | C4 Mean=0.8382 | C5 Mean=0.5106 | C6 Mean=0.7910 | C7 Mean=0.5376 WorstC Mean=0.5106 [164.4s]
    Client 6: loss=0.0757, epochs=30
    Client 0: loss=0.0638, epochs=30
    Client 3: loss=0.0732, epochs=30
    Client 1: loss=0.1004, epochs=30
    Client 2: loss=0.0679, epochs=30
    Client 4: loss=0.0745, epochs=30
    Client 5: loss=0.1456, epochs=30
    Client 7: loss=0.3623, epochs=30
  Round  28/50: Pooled Loss=0.3140, Pooled Mean=0.8062 (WT=0.8672 TC=0.7765 ET=0.7748) | C0 Mean=0.8032 | C1 Mean=0.7876 | C2 Mean=0.6935 | C3 Mean=0.7837 | C4 Mean=0.8392 | C5 Mean=0.5100 | C6 Mean=0.7933 | C7 Mean=0.5396 WorstC Mean=0.5100 [164.5s]
    Client 3: loss=0.0738, epochs=30
    Client 7: loss=0.3398, epochs=30
    Client 2: loss=0.0657, epochs=30
    Client 6: loss=0.0764, epochs=30
    Client 0: loss=0.0637, epochs=30
    Client 1: loss=0.0941, epochs=30
    Client 4: loss=0.0718, epochs=30
    Client 5: loss=0.1411, epochs=30
  Round  29/50: Pooled Loss=0.3163, Pooled Mean=0.8047 (WT=0.8690 TC=0.7743 ET=0.7710) | C0 Mean=0.8078 | C1 Mean=0.7839 | C2 Mean=0.6908 | C3 Mean=0.7735 | C4 Mean=0.8397 | C5 Mean=0.5198 | C6 Mean=0.7916 | C7 Mean=0.5588 WorstC Mean=0.5198 [163.3s]
    Client 7: loss=0.3123, epochs=30
    Client 2: loss=0.0683, epochs=30
    Client 5: loss=0.1353, epochs=30
    Client 1: loss=0.0921, epochs=30
    Client 6: loss=0.0759, epochs=30
    Client 4: loss=0.0703, epochs=30
    Client 3: loss=0.0726, epochs=30
    Client 0: loss=0.0623, epochs=30
  Round  30/50: Pooled Loss=0.3200, Pooled Mean=0.8026 (WT=0.8657 TC=0.7714 ET=0.7707) | C0 Mean=0.7993 | C1 Mean=0.7862 | C2 Mean=0.6842 | C3 Mean=0.7789 | C4 Mean=0.8414 | C5 Mean=0.5125 | C6 Mean=0.7958 | C7 Mean=0.5493 WorstC Mean=0.5125 [164.0s]
    Client 6: loss=0.0737, epochs=30
    Client 5: loss=0.1361, epochs=30
    Client 3: loss=0.0769, epochs=30
    Client 0: loss=0.0602, epochs=30
    Client 2: loss=0.0648, epochs=30
    Client 1: loss=0.0968, epochs=30
    Client 4: loss=0.0690, epochs=30
    Client 7: loss=0.2827, epochs=30
  Round  31/50: Pooled Loss=0.3196, Pooled Mean=0.8021 (WT=0.8654 TC=0.7697 ET=0.7712) | C0 Mean=0.7983 | C1 Mean=0.7891 | C2 Mean=0.6944 | C3 Mean=0.7776 | C4 Mean=0.8428 | C5 Mean=0.5113 | C6 Mean=0.7951 | C7 Mean=0.5515 WorstC Mean=0.5113 [164.5s]
    Client 7: loss=0.2749, epochs=30
    Client 6: loss=0.0804, epochs=30
    Client 1: loss=0.0939, epochs=30
    Client 4: loss=0.0678, epochs=30
    Client 2: loss=0.0670, epochs=30
    Client 3: loss=0.0695, epochs=30
    Client 0: loss=0.0607, epochs=30
    Client 5: loss=0.1290, epochs=30
  Round  32/50: Pooled Loss=0.3142, Pooled Mean=0.8069 (WT=0.8691 TC=0.7751 ET=0.7766) | C0 Mean=0.8035 | C1 Mean=0.7899 | C2 Mean=0.7138 | C3 Mean=0.7676 | C4 Mean=0.8350 | C5 Mean=0.5259 | C6 Mean=0.7895 | C7 Mean=0.5405 WorstC Mean=0.5259 [163.7s]
    Client 0: loss=0.0603, epochs=30
    Client 4: loss=0.0658, epochs=30
    Client 2: loss=0.0616, epochs=30
    Client 3: loss=0.0732, epochs=30
    Client 1: loss=0.0881, epochs=30
    Client 6: loss=0.0740, epochs=30
    Client 7: loss=0.3989, epochs=30
    Client 5: loss=0.1230, epochs=30
